,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
24,7,Scott Forks,Aaron,Davies,41,Son,Single,Male,Immunologist,None,Muslim
25,7,Scott Forks,Jenna,Davies,38,Daughter,Single,Female,Trade mark attorney,None,None
26,7,Scott Forks,Steven,Davies,38,Son,Single,Male,Field trials officer,None,None
27,8,Scott Forks,Valerie,Doherty,31,Head,Married,Female,Human resources officer,None,None
28,8,Scott Forks,Albert,Doherty,34,Husband,Married,Male,Banker,None,None
29,8,Scott Forks,Reece,Doherty,3,Son,NA,Male,Child,None,NA
30,8,Scott Forks,Debra,Doherty,0,Daughter,NA,Female,Child,None,NA
31,9,Scott Forks,Catherine,Bennett,60,Head,Married,Female,Engineering geologist,None,Catholic
32,9,Scott Forks,Paul,Bennett,62,Husband,Married,Male,"Surveyor, planning and development",None,None
33,9,Scott Forks,Irene,Bennett,25,Daughter,Single,Female,Commercial art gallery manager,None,Catholic
34,9,Scott Forks,Kieran,Bennett,22,Son,Single,Male,University Student,None,None
35,9,Scott Forks,Nicole,Bennett,18,Daughter,Single,Female,Student,None,Catholic
36,9,Scott Forks,Anna,Bennett,16,Daughter,NA,Female,Student,None,NA
37,10,Scott Forks,Norman,Chapman,56,Head,Married,Male,Tour manager,None,None
38,10,Scott Forks,Kathryn,Chapman,53,Wife,Married,Female,Patent attorney,None,None
39,10,Scott Forks,Carl,Chapman,19,Son,Single,M,Chief Financial Officer,None,None
40,10,Scott Forks,Ricky,Chapman,14,Son,NA,Male,Student,None,NA
41,1,Fish Lane,Lindsey,Robson,52,Head,Divorced,Female,Advice worker,None,None
42,Two,Fish Lane,Gregory,Dixon,75,Head,Widowed,Male,Retired Barrister,None,Christian
43,3,Fish Lane,Jordan,Gray,36,Head,Single,Male,Metallurgist,None,Catholic
44,3,Fish Lane,Leslie,Gray,42,Cousin,Single,Male,"Physicist, medical",None,None
45,4,Fish Lane,Sylvia,Potter,31,Head,Married,Female,"Psychologist, occupational",None,None
46,4,Fish Lane,Harry,Potter,35,Husband,Married,Male,Manufacturing engineer,None,None
47,4,Fish Lane,Yvonne,Potter,19,Daughter,Single,Female,University Student,None,None
48,5,Fish Lane,Barbara,O'Neill,23,Head,Single,Female,"Psychologist, clinical",None,None
49,6,Fish Lane,Tom,Anderson,35,Head,Single,Male,"Engineer, civil (consulting)",None,Catholic
50,6,Fish Lane,Ann,Morgan,56,None,Single,Female,Unemployed,None,Christian
51,7,Fish Lane,Conor,Dean,59,Head,Single,Male,Agricultural engineer,None,Christian
52,7,Fish Lane,Sheila,Bates,49,None,Single,Female,Estate manager/land agent,None,Methodist
53,7,Fish Lane,Garry,Miller,31,None,Single,Male,Set designer,None,None
54,8,Fish Lane,Joseph,Miller,27,Head,Single,Male,Forest/woodland manager,None,Catholic
55,9,Fish Lane,William,Barry,89,Head,Married,Male,Retired Merchant navy officer,None,None
56,9,Fish Lane,Lauren,Barry,86,Wife,Married,Female,Retired Medical technical officer,None,None
57,10,Fish Lane,Lucy,Foster,29,Head,Single,Female,Pensions consultant,None,None
58,11,Fish Lane,Joe,Browne,34,Head,Single,Male,Retail merchandiser,None,None
59,12,Fish Lane,Aimee,Mitchell,38,Head,Single,Female,Unemployed,None,Christian
60,12,Fish Lane,Billy,Mitchell,11,Son,NA,male,Student,None,NA
61,13,Fish Lane,Charles,Patel,54,Head,Single,Male,"Administrator, arts",None,Methodist
62,14,Fish Lane,Naomi,Parker,52,Head,Divorced,Female,"Investment banker, corporate",None,Christian
63,14,Fish Lane,Alison,Parker,24,Daughter,Divorced,Female,International aid/development worker,None,None
64,15,Fish Lane,Kevin,Whitehead,44,Head,Single,Male,Tourism officer,None,Catholic
65,16,Fish Lane,Geraldine,Wilson,45,Head,Married,F,Agricultural consultant,None,Christian
66,16,Fish Lane,Ronald,Wilson,51,Husband,Married,Male,"Teacher, music",None,Christian
67,16,Fish Lane,Hugh,Wilson,22,Son,Single,Male,University Student,None,None
68,17,Fish Lane,Lynne,McDonald,54,Head,Single,Female,Exercise physiologist,None,None
69,18,Fish Lane,Barry,Osborne,55,Head,Single,Male,Lexicographer,None,Christian
70,19,Fish Lane,Shannon,Gallagher,47,Head,Divorced,Female,Oceanographer,None,None
71,19,Fish Lane,Shannon,Gallagher,21,Daughter,Divorced,Female,University Student,None,None
72,19,Fish Lane,Leon,Gallagher,19,Son,Single,Male,University Student,None,None
73,20,Fish Lane,Eric,McKenzie,57,Head,Married,Male,Actuary,None,None
74,20,Fish Lane,Ellie,McKenzie,52,Wife,Married,Female,Diplomatic Services operational officer,None,None
75,21,Fish Lane,Billy,Hughes,18,Head,Divorced,Male,Student,None,NA
76,22,Fish Lane,Ronald,West,66,Head,Widowed,male,"Engineer, energy",None,Catholic
77,23,Fish Lane,Stephen,Harrison,42,Head,Single,Male,"Designer, jewellery",None,None
78,24,Fish Lane,Leah,Stephens,68,Head,Widowed,Female,Retired Logistics and distribution manager,None,Methodist
79,25,Fish Lane,Abdul,Lawrence,78,Head,Single,male,Retired Dramatherapist,None,Methodist
80,26,Fish Lane,Liam,Anderson,72,Head,Divorced,Male,Retired Training and development officer,None,Christian
81,27,Fish Lane,Paige,Gardiner,59,Head,Single,Female,Unemployed,None,Methodist
82,27,Fish Lane,Bryan,Gardiner,14,Son,NA,Male,Student,None,NA
83,28,Fish Lane,Francesca,Marsh,38,Head,Single,Female,"Designer, ceramics/pottery",None,Catholic
84,28,Fish Lane,Anthony,Bowen,40,Partner,S,Male,Records manager,None,Catholic
85,29,Fish Lane,Shirley,Collins,45,Head,Single,Female,Unemployed,None,None
86,30,Fish Lane,Thomas,Burgess,33,Head,Married,Male,Unemployed,None,None
87,30,Fish Lane,Anna,Burgess,30,Wife,Married,Female,Financial planner,None,None
88,31,Fish Lane,Kyle,Francis,63,Head,Single,Male,Personnel officer,None,Methodist
89,32,Fish Lane,Kenneth,Davies,56,Head,Divorced,Male,Neurosurgeon,None,Methodist
90,33,Fish Lane,Denise,Rees,43,Head,Single,Female,Orthoptist,None,None
91,34,Fish Lane,Gemma,Cooper,50,Head,Divorced,Female,Fast food restaurant manager,None,Methodist
92,35,Fish Lane,Arthur,Mitchell,38,Head,Single,male,"Engineer, agricultural",None,Christian
93,36,Fish Lane,Jordan,Johnson,57,Head,Married,Male,Operational investment banker,None,Methodist
94,36,Fish Lane,Margaret,Johnson,55,Wife,Married,Female,"Civil engineer, consulting",None,Methodist
95,36,Fish Lane,Carolyn,Johnson,11,Granddaughter,NA,Female,Student,None,NA
96,37,Fish Lane,Howard,Briggs,52,Head,Single,Male,Data processing manager,None,Methodist
97,38,Fish Lane,Linda,Thompson,33,Head,Divorced,Female,Unemployed,None,None
98,38,Fish Lane,Damian,Thompson,4,Son,NA,Male,Child,None,NA
99,38,Fish Lane,Alison,Thompson,1,Daughter,NA,Female,Child,None,NA
100,39,Fish Lane,Helen,Hughes,71,Head,Widowed,Female,Retired Sports coach,None,None
101,40,Fish Lane,Rachel,White,57,Head,Single,Female,Armed forces training and education officer,None,Christian
102,40,Fish Lane,Frederick,Henderson,55,None,Single,Male,Geophysical data processor,None,None
103,41,Fish Lane,Donald,Miles,85,Head,Widowed,Male,Retired Newspaper journalist,None,Christian
104,42,Fish Lane,Lynn,Miller,42,Head,Single,Female,Advertising account planner,None,None
105,42,Fish Lane,Joel,Rogers,44,Partner,Single,Male,Seismic interpreter,None,None
106,42,Fish Lane,Elaine,Miller,11,Daughter,NA,Female,Student,None,NA
107,42,Fish Lane,Karen,Miller,10,Daughter,NA,Female,Student,None,NA
108,43,Fish Lane,Sylvia,Townsend,67,Head,Widowed,Female,Research scientist (life sciences),None,Christian
109,1,Buckley Road,Rachael,Hurst,42,Head,Single,Female,Unemployed,None,None
110,1,Buckley Road,Antony,Greenwood,51,Lodger,Single,Male,Community education officer,None,Catholic
111,2,Buckley Road,Jeremy,Davey,31,Head,Single,Male,"Engineer, manufacturing systems",Physical Disability,Methodist
112,2,Buckley Road,Ruth,Spencer,64,None,Single,Female,Unemployed,None,Christian
113,3,Buckley Road,Lawrence,Hooper,51,Head,Married,Male,Unemployed,None,Christian
114,3,Buckley Road,Eleanor,Hooper,52,Wife,Married,Female,Hospital doctor,None,Christian
115,4,Buckley Road,Hollie,Jackson,72,Head,Widowed,Female,Retired Immunologist,None,Catholic
116,4,Buckley Road,George,Griffiths-Jackson,29,Son,Divorced,Male,IT consultant,None,Catholic
117,5,Buckley Road,Chelsea,Clarke,32,Head,Married,Female,"Investment banker, corporate",None,Methodist
118,5,Buckley Road,Richard,Clarke,31,Husband,Married,Male,Barrister,None,Methodist
119,5,Buckley Road,Edward,Clarke,2,Son,NA,Male,Child,None,NA
120,5,Buckley Road,Neil,Holt,25,Lodger,Single,Male,Clothing/textile technologist,None,None
121,5,Buckley Road,Beth,Gibbons,59,Lodger,Single,Female,"Designer, graphic",None,Christian
122,6,Buckley Road,Leah,Wood,33,Head,Single,Female,Financial adviser,None,Jewish
123,7,Buckley Road,Dorothy,Marshall,55,Head,Single,Female,Fine artist,None,None
124,7,Buckley Road,Leon,Moran,59,Partner,Single,Male,Museum education officer,None,None
125,7,Buckley Road,Aimee,Marshall,18,Daughter,Single,Female,Student,None,None
126,7,Buckley Road,Ellie,Marshall,16,Daughter,NA,Female,Student,None,NA
127,8,Buckley Road,Patricia,Singh,56,Head,Widowed,Female,Medical sales representative,None,Christian
128,9,Buckley Road,Heather,Hall-Patel,35,Head,Divorced,Female,"Lecturer, further education",None,Christian
129,9,Buckley Road,Louis,Hall-Patel,9,Son,NA,Male,Student,None,NA
130,9,Buckley Road,Sam,Hall-Patel,2,Son,NA,Male,Child,None,NA
131,10,Buckley Road,Jade,Bryan,62,Head,Married,Female,Unemployed,None,Muslim
132,10,Buckley Road,Matthew,Bryan,66,Husband,Married,Male,Network engineer,None,Muslim
133,11,Buckley Road,Michael,Smith,62,Head,Single,Male,"Conservator, museum/gallery",None,Methodist
134,11,Buckley Road,Margaret,Andrews,63,Partner,Single,Female,Management consultant,None,Methodist
135,12,Buckley Road,Tom,Jones,43,Head,Single,M,Unemployed,None,None
136,13,Buckley Road,Julie,Armstrong,30,Head,Single,Female,Unemployed,None,Catholic
137,13,Buckley Road,Shane,Armstrong,1,Son,NA,Male,Child,None,NA
138,14,Buckley Road,Jade,Gill,27,Head,Married,Female,Early years teacher,None,None
139,14,Buckley Road,Daniel,Gill,25,Husband,Married,Male,"Lighting technician, broadcasting/film/video",None,None
140,14,Buckley Road,Tracey,Gill,1,Daughter,NA,Female,Child,None,NA
141,14,Buckley Road,Barry,Hewitt,55,Lodger,Single,Male,Contractor,None,Methodist
142,14,Buckley Road,June,Mahmood,35,Visitor,Single,Female,"Nurse, mental health",None,None
143,15,Buckley Road,Irene,Austin-Wood,44,Head,Married,Female,Public relations account executive,None,None
144,15,Buckley Road,Bruce,Austin-Wood-Lloyd,43,Husband,Married,Male,Management consultant,None,None
145,15,Buckley Road,Hannah,Austin-Wood-Lloyd,11,Daughter,NA,Female,Student,None,NA
146,15,Buckley Road,Aaron,Austin-Wood-Lloyd,9,Son,NA,Male,Student,None,NA
147,15,Buckley Road,Naomi,Austin-Wood-Lloyd,5,Daughter,NA,Female,Student,None,NA
148,1,Capricorn Road,Connor,Chapman,61,Head,Single,Male,Administrator,None,None
149,1,Capricorn Road,Andrea,Wood,51,None,Single,Female,Mechanical engineer,None,None
150,1,Capricorn Road,Ronald,Cole,39,None,Single,Male,Forensic scientist,None,None
151,1,Capricorn Road,Anne,Jones,55,None,Single,Female,Ambulance person,None,Christian
152,2,Capricorn Road,Jemma,Jenkins,48,Head,Divorced,Female,Radiation protection practitioner,None,Catholic
153,2,Capricorn Road,Bryan,Jenkins,21,Son,Divorced,Male,University Student,None,Catholic
154,2,Capricorn Road,Lisa,Jenkins,21,Daughter,Divorced,Female,University Student,None,None
155,3,Capricorn Road,Jayne,Lewis,59,Head,Married,Female,Ecologist,None,Christian
156,3,Capricorn Road,Gary,Lewis,61,Husband,Married,Male,Chiropodist,None,None
157,3,Capricorn Road,Joel,Jones,20,Son,Single,Male,University Student,None,Christian
158,3,Capricorn Road,Liam,Jones,15,Son,NA,Male,Student,None,NA
159,4,Capricorn Road,Denise,Jones,61,Head,Married,Female,"Scientist, forensic",None,Methodist
160,4,Capricorn Road,Brian,Jones,63,Husband,Married,Male,Photographer,None,None
161,5,Capricorn Road,Abdul,Thompson,32,Head,Single,Male,"Engineer, agricultural",None,None
162,6,Capricorn Road,Jade,Bailey,61,Head,Married,Female,Music therapist,None,Christian
163,6,Capricorn Road,George,Bailey,67,Husband,Married,Male,Communications engineer,None,Christian
164,6,Capricorn Road,Scott,Bailey,22,Son,Single,Male,University Student,None,Christian
165,6,Capricorn Road,Gerald,Bailey,18,Son,Single,Male,Student,None,Christian
166,6,Capricorn Road,Raymond,Bailey,18,Son,Single,Male,Student,None,Christian
167,6,Capricorn Road,Louise,Bailey,15,Daughter,NA,Female,Student,None,NA
168,7,Capricorn Road,Jayne,Cook,52,Head,Single,Female,Therapeutic radiographer,None,Christian
169,7,Capricorn Road,Robin,Harris,52,Partner,Single,Male,"Scientist, clinical (histocompatibility and immunogenetics)",None,Christian
170,7,Capricorn Road,Colin,Cook,17,Son,NA,Male,Student,None,NA
171,7,Capricorn Road,Darren,Cook,15,Son,NA,Male,Student,None,NA
172,8,Capricorn Road,Joe,Stone,34,Head,Widowed,Male,Unemployed,None,None
173,8,Capricorn Road,Jean,Stone,12,Daughter,NA,Female,Student,None,NA
174,8,Capricorn Road,Amy,Stone,11,Daughter,NA,Female,Student,None,NA
175,8,Capricorn Road,Jonathan,Stone,7,Son,NA,Male,Student,None,NA
176,9,Capricorn Road,Nicole,Taylor,53,Head,Married,Female,"Psychologist, occupational",None,Methodist
177,9,Capricorn Road,Ian,Taylor,50,Husband,Married,Male,"Designer, graphic",None,Methodist
178,9,Capricorn Road,Anna,Taylor,26,Daughter,Single,Female,"Teacher, early years/pre",None,Methodist
179,9,Capricorn Road,Dylan,Smith,24,Son,Divorced,Male,Clinical research associate,None,Methodist
180,9,Capricorn Road,Nathan,Smith,6,Son,NA,Male,Student,None,NA
181,10,Capricorn Road,Lindsey,Andrews,50,Head,Single,Female,Trade union research officer,None,Catholic
182,10,Capricorn Road,Rosie,Fisher,41,None,Single,Female,Sub,None,None
183,10,Capricorn Road,Albert,Scott,50,None,Single,Male,Orthoptist,None,Christian
184,10,Capricorn Road,Carolyn,Smith,41,None,Single,Female,"Engineer, aeronautical",None,None
185,11,Capricorn Road,Christopher,Robinson,59,Head,Divorced,Male,Community pharmacist,None,None
186,11,Capricorn Road,Molly,Robinson,24,Daughter,Single,Female,Dealer,None,None
187,11,Capricorn Road,Tony,Robinson,22,Son,Single,Male,University Student,None,None
188,11,Capricorn Road,Vanessa,Robinson,20,Daughter,Single,Female,Occupational hygienist,None,None
189,11,Capricorn Road,Tina,Robinson,19,Daughter,Divorced,Female,University Student,None,None
190,12,Capricorn Road,Beth,Jones,40,Head,Divorced,Female,Clinical psychologist,None,Methodist
191,12,Capricorn Road,Katy,Jones,11,Daughter,NA,Female,Student,None,NA
192,12,Capricorn Road,Pamela,Jones,7,Daughter,NA,Female,Student,None,NA
193,12,Capricorn Road,Jack,Jones,4,Son,NA,Male,Child,None,NA
194,12,Capricorn Road,Katie,Jones,2,Daughter,NA,Female,Child,None,NA
195,12,Capricorn Road,Julie,Williams,54,Lodger,Divorced,Female,"Therapist, art",None,Christian
196,13,Capricorn Road,Pamela,Schofield,30,Head,Single,Female,Homeopath,None,None
197,13,Capricorn Road,Kate,Schofield,4,Daughter,NA,Female,Child,None,NA
198,13,Capricorn Road,Nicholas,Schofield,2,Son,NA,Male,Child,None,NA
199,13,Capricorn Road,Iain,Knowles,31,Lodger,Single,Male,Marine scientist,None,None
200,14,Capricorn Road,Anna,Potts,55,Head,Single,Female,Oceanographer,None,Christian
201,14,Capricorn Road,Clive,Young,18,None,Single,Male,Student,None,NA
202,14,Capricorn Road,Howard,Abbott,42,None,Single,Male,Structural engineer,None,Christian
203,15,Capricorn Road,Chloe,Austin,40,Head,Married,Female,"Embryologist, clinical",None,Catholic
204,15,Capricorn Road,Shaun,Austin,42,Husband,Married,Male,Unemployed,None,Catholic
205,15,Capricorn Road,Sian,Wong,18,Daughter,Single,Female,Student,None,None
206,15,Capricorn Road,Kevin,Wong,17,Son,NA,Male,Student,None,NA
207,16,Capricorn Road,Brian,Anderson,42,Head,Married,Male,"Psychotherapist, dance movement",None,Christian
208,16,Capricorn Road,Michelle,Anderson,40,Wife,Married,Female,Civil Service administrator,None,Christian
209,16,Capricorn Road,Richard,Anderson,14,Nephew,NA,male,Student,None,NA
210,16,Capricorn Road,Aaron,Anderson,12,Nephew,NA,Male,Student,None,NA
211,17,Capricorn Road,Adrian,Holland,64,Head,Married,Male,"Engineer, structural",None,Christian
212,17,Capricorn Road,Melanie,Holland,67,Wife,Married,Female,Oncologist,None,Christian
213,17,Capricorn Road,Paul,Holland,36,Son,Single,Male,Electrical engineer,None,Christian
214,18,Capricorn Road,Alison,Williams,54,Head,Married,Female,Newspaper journalist,None,Christian
215,18,Capricorn Road,Bruce,Williams,56,Husband,Married,Male,"Designer, multimedia",None,None
216,18,Capricorn Road,Toby,Williams,29,Son,Divorced,Male,Teaching laboratory technician,None,Christian
217,18,Capricorn Road,Nigel,Williams,1,Son,NA,Male,Child,None,NA
218,19,Capricorn Road,Holly,Thompson,47,Head,Divorced,Female,Unemployed,None,Christian
219,19,Capricorn Road,Jean,Thompson,10,Daughter,NA,Female,Student,None,NA
220,20,Capricorn Road,Ashley,Goodwin,58,Head,Single,Male,Media planner,None,Christian
221,21,Capricorn Road,Lewis,Perkins,33,Head,Single,Male,Early years teacher,None,None
222,21,Capricorn Road,Jeremy,Harrison,27,None,Single,Male,Music tutor,None,None
223,21,Capricorn Road,Gemma,Swift,48,None,Single,Female,Learning disability nurse,None,Catholic
224,21,Capricorn Road,Bethan,Wilson,59,None,Single,Female,Research scientist (maths),None,None
225,22,Capricorn Road,Joseph,Bray,24,Head,Single,Male,Computer games developer,None,None
226,22,Capricorn Road,Ashley,Cooper,20,None,Single,Male,University Student,None,Methodist
227,22,Capricorn Road,Danny,Waters,19,None,Single,Male,University Student,None,None
228,23,Capricorn Road,Mark,James,40,Head,Married,Male,Accommodation manager,None,None
229,23,Capricorn Road,Aimee,James-Richardson,34,Wife,Married,Female,Unemployed,None,None
230,23,Capricorn Road,Jacqueline,James-Richardson,4,Daughter,NA,Female,Child,None,NA
231,23,Capricorn Road,Sheila,James-Richardson,2,Daughter,NA,Female,Child,None,NA
232,23,Capricorn Road,Mark,James-Richardson,0,Son,NA,Male,Child,None,NA
233,23,Capricorn Road,Julia,Yates,40,Lodger,Divorced,Female,Contractor,None,None
234,24,Capricorn Road,Douglas,Rogers,59,Head,Married,Male,"Administrator, arts",None,None
235,24,Capricorn Road,Dawn,Rogers,55,Wife,Married,Female,Automotive engineer,None,None
236,25,Capricorn Road,Abigail,Howell,38,Head,Single,Female,Barista,None,Catholic
237,26,Capricorn Road,Amy,Peters,18,Head,Single,Female,University Student,None,Christian
238,26,Capricorn Road,Melissa,Robinson,18,None,Single,Female,University Student,None,Catholic
239,26,Capricorn Road,Frank,Atkins,22,None,Single,Male,University Student,None,None
240,26,Capricorn Road,Marion,Sutton,20,None,Single,Female,University Student,None,Catholic
241,27,Capricorn Road,Louise,Thompson,24,Head,Single,Female,Nature conservation officer,None,Methodist
242,27,Capricorn Road,Liam,Nolan,41,None,Single,Male,Counsellor,None,None
243,27,Capricorn Road,Bethan,Phillips,23,None,Single,Female,Fine artist,None,None
244,27,Capricorn Road,Amelia,Walton,53,None,Single,Female,Insurance account manager,None,None
245,28,Capricorn Road,Nicole,Kemp,42,Head,Married,Female,"Engineer, maintenance (IT)",None,Methodist
246,28,Capricorn Road,Dale,Kemp-Porter,42,Husband,Married,Male,Psychiatric nurse,None,Methodist
247,28,Capricorn Road,Alison,Kemp-Porter,14,Daughter,NA,Female,Student,None,NA
248,29,Capricorn Road,Joyce,Morris,81,Head,Widowed,Female,Unemployed,None,None
249,29,Capricorn Road,Claire,Morris,42,Daughter,Single,Female,"Scientist, marine",None,None
250,29,Capricorn Road,Norman,Morris,38,Son,Divorced,Male,Financial adviser,None,None
251,29,Capricorn Road,Hollie,Morris,38,Daughter,Single,Female,Herbalist,None,None
252,30,Capricorn Road,Anne,Winter,59,Head,Married,Female,"Education officer, museum",None,Christian
253,30,Capricorn Road,Frederick,Winter,60,Husband,Married,Male,"Designer, furniture",None,Christian
254,30,Capricorn Road,Tom,Winter,21,Son,Single,Male,University Student,None,Christian
255,30,Capricorn Road,Norman,Winter,8,Son,NA,Male,Student,None,NA
256,31,Capricorn Road,Rosie,Murphy,44,Head,Married,Female,Web designer,None,Christian
257,31,Capricorn Road,Joe,Murphy,48,Husband,Married,Male,Trade mark attorney,None,Christian
258,31,Capricorn Road,Pamela,Murphy,10,Daughter,NA,female,Student,None,NA
259,31,Capricorn Road,Victor,Murphy,6,Son,NA,Male,Student,None,NA
260,32,Capricorn Road,Frances,Moore,24,Head,Married,Female,Wellsite geologist,None,None
261,32,Capricorn Road,Dominic,Taylor,26,Husband,Married,Male,"Radiographer, therapeutic",None,None
262,32,Capricorn Road,Shaun,Moore,0,Son,NA,male,Child,None,NA
263,32,Capricorn Road,Rebecca,Wong,62,Lodger,Single,Female,Set designer,None,Christian
264,33,Capricorn Road,Mandy,Atkinson,39,Head,Married,Female,Interior and spatial designer,None,None
265,33,Capricorn Road,Thomas,Atkinson,41,Husband,Married,Male,"Surveyor, rural practice",None,None
266,33,Capricorn Road,Tracy,Atkinson,9,Daughter,NA,Female,Student,None,NA
267,33,Capricorn Road,Dominic,Atkinson,6,Son,NA,Male,Student,Unknown Infection,NA
268,34,Capricorn Road,Gillian,Bryan,36,Head,Single,Female,"Designer, ceramics/pottery",None,Methodist
269,34,Capricorn Road,Raymond,Ross,40,Partner,Single,Male,"Engineer, maintenance (IT)",None,Methodist
270,34,Capricorn Road,Elaine,Bryan,9,Daughter,NA,Female,Student,None,NA
271,34,Capricorn Road,Ashley,Bryan,5,Son,NA,Male,Student,None,NA
272,35,Capricorn Road,Natalie,Clarke,51,Head,Married,Female,"Engineer, control and instrumentation",None,Christian
273,35,Capricorn Road,Elliot,Clarke,50,Husband,Married,Male,Magazine journalist,None,Christian
274,35,Capricorn Road,Donna,Clarke,15,Daughter,NA,Female,Student,None,NA
275,35,Capricorn Road,Stephanie,Clarke,12,Daughter,NA,Female,Student,None,NA
276,36,Capricorn Road,Paula,Berry,27,Head,Married,Female,"Designer, graphic",None,None
277,36,Capricorn Road,Jack,Berry,23,Husband,Married,Male,Agricultural consultant,None,None
278,36,Capricorn Road,Stanley,Berry,1,Son,NA,Male,Child,None,NA
279,36,Capricorn Road,Naomi,Bennett,51,Lodger,Single,Female,Environmental education officer,None,Christian
280,37,Capricorn Road,Lorraine,Turner,36,Head,Married,Female,Technical brewer,None,None
281,37,Capricorn Road,Ashley,Turner,43,Husband,Married,Male,Waste management officer,None,None
282,37,Capricorn Road,Dean,Turner,8,Son,NA,Male,Student,None,NA
283,37,Capricorn Road,Maureen,Turner,7,Daughter,NA,f,Student,None,NA
284,38,Capricorn Road,Trevor,Jones,26,Head,Single,Male,"Horticulturist, amenity",None,Christian
285,38,Capricorn Road,Julian,Johnson,49,Visitor,Divorced,Male,Social researcher,None,Christian
286,38,Capricorn Road,Adrian,Stevenson,55,Lodger,Single,Male,"Engineer, aeronautical",None,Christian
287,38,Capricorn Road,Raymond,Patterson,22,Lodger,Single,Male,University Student,None,None
288,1,Jenkins Drives,Gerard,Ahmed,29,Head,Single,Male,"Copywriter, advertising",None,None
289,2,Jenkins Drives,Barbara,Cox,54,Head,Single,Female,"Social research officer, government",None,Methodist
290,2,Jenkins Drives,Ricky,Hodgson,56,Partner,Single,Male,"Therapist, occupational",None,None
291,2,Jenkins Drives,Abdul,Cox,16,Son,NA,Male,Student,None,NA
292,3,Jenkins Drives,Leanne,Pratt,67,Head,Married,Female,Dramatherapist,None,Methodist
293,3,Jenkins Drives,Ryan,Pratt,63,Husband,Married,Male,Unemployed,None,Methodist
294,4,Jenkins Drives,Toby,Watkins,74,Head,Married,Male,Retired Youth worker,None,Jewish
295,4,Jenkins Drives,Julia,Watkins,78,Wife,Married,Female,Retired Nutritional therapist,None,Jewish
296,5,Jenkins Drives,Kathleen,Wood,64,Head,Married,Female,Commercial art gallery manager,None,None
297,5,Jenkins Drives,Connor,Wood,68,Husband,Married,Male,Retired Forensic scientist,None,None
298,5,Jenkins Drives,Denise,Wood,35,Daughter,Single,Female,Firefighter,None,None
299,5,Jenkins Drives,Natasha,Wood,34,Daughter,Divorced,Female,Community education officer,None,None
300,6,Jenkins Drives,Jane,Richardson,41,Head,Single,Female,"Scientist, forensic",None,None
301,6,Jenkins Drives,Mohammed,Turner,42,Partner,Single,Male,Energy engineer,None,None
302,7,Jenkins Drives,Francesca,Wood,77,Head,Married,Female,Retired Interpreter,None,Christian
303,7,Jenkins Drives,Allan,Wood,77,Husband,Married,Male,"Retired Engineer, mining",None,Christian
304,8,Jenkins Drives,Sophie,Roberts,51,Head,Single,Female,Unemployed,None,None
305,8,Jenkins Drives,Glenn,Roberts,9,Son,NA,Male,Student,None,NA
306,8,Jenkins Drives,Dorothy,Roberts,8,Daughter,NA,Female,Student,None,NA
